clothing_id,age_group,rating,recommended_ind,positive_feedback_count,division_name,category,review_date
767,25 to 34,4,1,0,Initmates,Intimate,30/03/2017
1080,25 to 34,5,1,4,General,Dresses,10/3/17
1077,55 to 64,3,0,0,General,Dresses,4/3/17
1049,35 to 54,5,1,0,General Petite,Bottoms,3/3/17
847,35 to 54,5,1,6,General,Tops,14/12/2017
1080,35 to 54,2,0,4,General,Dresses,8/9/17
858,35 to 54,5,1,1,General Petite,Tops,10/10/17
858,35 to 54,4,1,4,General Petite,Tops,28/08/2017
1077,18 to 24,5,1,0,General,Dresses,24/10/2017
1077,25 to 34,5,1,0,General,Dresses,15/08/2017
1077,35 to 54,3,0,14,General,Dresses,12/8/17
1095,35 to 54,5,1,2,General Petite,Dresses,14/09/2017
1095,35 to 54,5,1,2,General Petite,Dresses,21/01/2018
767,35 to 54,5,1,0,Initmates,Intimate,26/05/2018
1077,35 to 54,3,1,1,General,Dresses,23/07/2017
1065,35 to 54,4,1,3,General,Bottoms,1/8/17
1065,25 to 34,3,1,2,General,Bottoms,26/07/2017
853,35 to 54,5,1,0,General,Tops,31/05/2017
1120,25 to 34,5,1,0,General,Jackets,31/05/2017
1077,35 to 54,5,1,0,General,Dresses,9/5/17
847,25 to 34,4,1,2,General,Tops,1/5/17
1080,55 to 64,4,1,14,General,Dresses,18/05/2017
1077,25 to 34,2,0,7,General,Dresses,4/4/17
1077,25 to 34,3,1,0,General,Dresses,30/03/2017
847,55 to 64,5,1,0,General,Tops,10/3/17
697,25 to 34,3,0,0,Initmates,Intimate,4/3/17
949,25 to 34,2,0,0,General,Tops,3/3/17
1003,25 to 34,4,1,0,General,Bottoms,26/05/2018
684,35 to 54,5,1,2,Initmates,Intimate,25/03/2015
4,25 to 34,5,1,0,General,Tops,27/10/2014
1060,25 to 34,5,1,0,General Petite,Bottoms,23/04/2015
1060,35 to 54,5,1,7,General Petite,Bottoms,10/10/17
1060,18 to 24,5,1,0,General Petite,Bottoms,12/9/17
949,35 to 54,2,0,0,General,Tops,6/9/17
697,35 to 54,5,1,0,Initmates,Intimate,30/08/2017
1060,65+,4,1,3,General Petite,Bottoms,18/09/2017
1002,25 to 34,4,1,5,General,Bottoms,23/08/2017
949,35 to 54,5,1,1,General,Tops,31/07/2017
684,35 to 54,5,1,2,Initmates,Intimate,1/8/17
862,55 to 64,5,1,0,General,Tops,26/07/2017
862,35 to 54,4,1,1,General,Tops,29/06/2017
862,35 to 54,5,1,0,General,Tops,1/6/17
910,18 to 24,5,1,0,General,Tops,1/6/17
89,65+,4,1,1,Initmates,Intimate,9/5/17
862,35 to 54,5,1,9,General,Tops,1/5/17
862,35 to 54,4,1,0,General,Tops,30/03/2017
862,35 to 54,5,1,0,General,Tops,15/03/2017
823,35 to 54,5,1,0,General,Tops,10/3/17
910,55 to 64,5,1,0,General,Tops,4/3/17
862,25 to 34,5,1,0,General,Tops,8/11/16
862,35 to 54,4,1,1,General,Tops,1/8/17
862,35 to 54,5,1,2,General,Tops,1/8/17
1104,35 to 54,3,1,3,General,Dresses,26/07/2017
862,35 to 54,5,1,34,General,Tops,1/5/17
862,65+,4,1,2,General,Tops,9/5/17
862,55 to 64,5,1,2,General,Tops,18/05/2017
368,25 to 34,2,0,3,Initmates,Intimate,30/03/2017
862,25 to 34,3,0,0,General,Tops,15/03/2017
1095,35 to 54,4,1,0,General Petite,Dresses,10/3/17
368,35 to 54,4,1,1,Initmates,Intimate,4/3/17
1095,35 to 54,5,1,0,General Petite,Dresses,1/6/17
368,35 to 54,1,0,0,Initmates,Intimate,1/6/17
862,25 to 34,5,1,0,General,Tops,26/05/2018
862,55 to 64,5,1,1,General,Tops,26/05/2018
862,35 to 54,5,1,0,General,Tops,10/10/17
862,55 to 64,4,1,2,General,Tops,18/09/2017
862,55 to 64,4,1,9,General,Tops,30/08/2017
862,35 to 54,5,1,1,General,Tops,18/01/2018
862,35 to 54,2,0,0,General,Tops,2/7/15
1078,55 to 64,3,0,1,General Petite,Dresses,10/10/17
845,35 to 54,4,1,10,General Petite,Tops,6/9/17
822,35 to 54,2,0,0,General,Tops,18/09/2017
850,25 to 34,5,1,4,General,Tops,30/08/2017
866,35 to 54,4,1,0,General Petite,Tops,12/8/17
1081,55 to 64,5,1,1,General Petite,Dresses,1/8/17
845,35 to 54,5,1,5,General Petite,Tops,26/07/2017
1082,25 to 34,4,1,0,General,Dresses,31/05/2017
850,25 to 34,2,0,0,General Petite,Tops,9/5/17
836,35 to 54,5,1,1,General,Tops,1/5/17
1081,55 to 64,4,1,2,General Petite,Dresses,18/05/2017
1072,65+,5,1,1,General,Dresses,4/4/17
863,55 to 64,5,1,4,General Petite,Tops,30/03/2017
1133,25 to 34,5,1,0,General,Jackets,10/3/17
822,65+,5,1,3,General,Tops,4/3/17
861,35 to 54,3,1,0,General Petite,Tops,3/3/17
866,55 to 64,1,0,2,General Petite,Tops,25/07/2018
850,35 to 54,4,1,0,General Petite,Tops,6/12/17
1081,35 to 54,4,1,9,General Petite,Dresses,4/12/17
845,35 to 54,2,0,4,General Petite,Tops,4/5/18
836,18 to 24,4,1,3,General,Tops,9/1/18
1078,35 to 54,4,1,0,General Petite,Dresses,22/08/2017
850,25 to 34,5,1,5,General Petite,Tops,6/12/17
861,18 to 24,5,1,0,General Petite,Tops,19/08/2017
1081,25 to 34,5,1,0,General,Dresses,29/08/2017
850,18 to 24,4,1,3,General Petite,Tops,18/11/2017
863,65+,5,1,14,General,Tops,1/6/18
845,35 to 54,1,0,0,General Petite,Tops,10/3/15
861,35 to 54,1,0,0,General Petite,Tops,10/3/17
1133,35 to 54,5,1,0,General,Jackets,4/3/17
861,25 to 34,3,0,17,General Petite,Tops,30/03/2017
861,35 to 54,4,1,0,General Petite,Tops,26/05/2018
863,35 to 54,4,1,5,General,Tops,10/10/17
822,65+,5,1,2,General,Tops,12/9/17
822,18 to 24,2,0,9,General,Tops,6/9/17
863,35 to 54,2,0,0,General,Tops,30/08/2017
836,65+,5,1,0,General,Tops,18/09/2017
836,35 to 54,4,1,11,General,Tops,31/07/2017
836,65+,4,1,0,General,Tops,1/8/17
